Năm Dữ Liệu (Year),Miền (Region),Vùng Kinh Tế (Zone),Tỉnh/Thành Phố (City),Mức Giá (Price),Diện Tích (Area),Địa Chỉ Chi Tiết (Address)
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.7 tỷ,88m²,"Dự án GoldSeason, 47 Nguyễn Tuân, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,897 triệu,57.1m²,"Dự án Tecco Tứ Hiệp, Thanh Trì, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.55 tỷ,32m²,"Số 16 ngõ 218, Phố Xã Đàn, Phường Láng Hạ, Đống Đa, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,7.3 tỷ,130m²,"Dự án Estella Heights, Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,13.9 tỷ,500m²,"Dự án Sông Đà Hà Đông Tower, Đường Nguyễn Trãi, Phường Văn Quán, Hà Đông, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,38.5 triệu/m²,64.25m²,"Dự án Chung cư C13 Bộ Quốc Phòng, Đường Bùi Xương Trạch, Phường Khương Đình, Thanh Xuân, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,1.73 tỷ,100.6m²,"Dự án IA20 Ciputra, Đường Phạm Văn Đồng, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,13.5 triá»‡u/mÂ²,69.6mÂ²,"Dá»± Ã¡n Ecohome 3, Ä�Æ°á»�ng TÃ¢n XuÃ¢n, PhÆ°á»�ng Ä�Ã´ng Ngáº¡c, Báº¯c Tá»« LiÃªm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,Thỏa thuận,Không xác định,"Dự án Vinhomes Ocean Park Gia Lâm, Gia Lâm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,16 tỷ,93m²,"Dự án Vinhomes Gardenia, Đường Hàm Nghi, Thị trấn Cầu Diễn, Nam Từ Liêm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.25 tỷ,32m²,"Xã Thanh Liệt, Thanh Trì, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.25 tỷ,86m²,"Dự án VOV Mễ Trì, Đường Lương Thế Vinh, Phường Mễ Trì, Nam Từ Liêm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,25 triệu/m²,133m²,"Dự án Dolphin Plaza, Phố Trần Bình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.6 tá»·,100.5mÂ²,"Ä�Æ°á»�ng Nguyá»…n Xiá»ƒn, Thanh XuÃ¢n, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,Thỏa thuận,171.6m²,"Dự án Mandarin Garden, Đường Hoàng Minh Giám, Phường Trung Hòa, Cầu Giấy, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Quảng Ninh,Thỏa thuận,144m²,"Đường Vườn Đào, Phường Bãi Cháy, Hạ Long, Quảng Ninh"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,21 triệu/m²,98.5m²,"Dự án C14 - Bộ Công An, Đường Tố Hữu, Xã Trung Văn, Nam Từ Liêm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,3 triệu/m²,130m²,"Đường 70A, Xã An Thượng, Hoài Đức, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.76 tỷ,87.27m²,"Dự án GoldSeason, Đường Nguyễn Tuân, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,Thỏa thuận,96m²,"Dự án Louis City, Đường 70, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,3.5 tỷ,53m²,"Đường Trương Định, Phường Tân Mai, Hoàng Mai, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,Thỏa thuận,228.9m²,"Dự án Vinhomes Riverside, Đường Hoa Phượng 8, Phường Việt Hưng, Long Biên, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,7.9 tỷ,45m²,"Đường Trung Yên 9, Phường Trung Hòa, Cầu Giấy, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,5 tỷ,78.42m²,"Dự án Vinhomes Metropolis - Liễu Giai, Phố Liễu Giai, Phường Liễu Giai, Ba Đình, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,Thỏa thuận,104m²,"Dự án Vinhomes Sky Lake, Nam Từ Liêm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,13 triệu/m²,55.77m²,"Dự án Khu nhà ở Bộ tư lệnh Thủ đô Hà Nội, Phường Yên Nghĩa, Hà Đông, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,3.7 tỷ,105m²,"Dự án Royal City, Đường Nguyễn Trãi, Phường Thượng Đình, Thanh Xuân, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,630 triệu,57m²,"Dự án Samsora Riverside, Đường Xa Lộ Hà Nội, Phường Bình Thắng, Dĩ An, Bình Dương"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hải Phòng,9 tỷ,200m²,"Dự án Vinhomes Cầu Rào 2, Đường Cầu Rào 2, Phường Vĩnh Niệm, Lê Chân, Hải Phòng"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,6 tỷ,52m²,"Phố Đốc Ngữ, Phường Liễu Giai, Ba Đình, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,4.3 tỷ,70m²,"Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,73 triệu/m²,251.3m²,"Dự án Vinhomes Riverside, Đường Hoa Sữa 5, Phường Việt Hưng, Long Biên, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.1 tỷ,74m²,"Dự án Golden Field Mỹ Đình, Nam Từ Liêm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,26.5 triệu/m²,70m²,"Dự án Chung cư Ban cơ yếu Chính phủ, Thanh Xuân, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.1 tỷ,72m²,"Dự án An Bình City, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,Thỏa thuận,200m²,"Dự án The Phoenix Garden, Đan Phượng, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,27 triệu,70m²,"Dự án Roman Plaza,Tố Hữu , Nam Từ Liêm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,1.8 tỷ,Không xác định,"Dự án VinCity Sportia, Nam Từ Liêm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,41.5 tỷ,180.7m²,"Đường Vương Thừa Vũ, Phường Khương Trung, Thanh Xuân, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,16 tỷ,84m²,"Đường Mỹ Đình, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,5.2 tỷ,95m²,"Dự án Estella Heights, Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.8 tỷ,95.64m²,"Dự án Golden Land, 275 Đường Nguyễn Trãi, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,5.25 tỷ,50m²,"Đường Tố Hữu, Phường La Khê, Hà Đông, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,Thỏa thuận,306m²,"Dự án Vinhomes Green Bay Mễ Trì, Nam Từ Liêm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,130 tỷ,280m²,"Đường Đỗ Đức Dục, Nam Từ Liêm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,64 tỷ,160m²,"Đường Hoàng Ngân, Phường Trung Hòa, Cầu Giấy, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,1.8 tỷ,53m²,"Dự án Times City, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,20 tỷ,140m²,"Dự án Ciputra Hà Nội, Đường Lạc Long Quân, Phường Phú Thượng, Tây Hồ, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.65 tỷ,76m²,"Dự án Times City, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,5 tỷ,84m²,"Dự án KĐT Văn Phú, Phố Lê Trọng Tấn, Phường Phú La, Hà Đông, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,30 triệu/m²,55m²,"Dự án VinCity Sportia, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,3.2 tỷ,65m²,"Dự án KĐT Văn Phú, Phố Lê Trọng Tấn, Phường Phú La, Hà Đông, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,28 triệu/m²,142.5m²,"Xã Xuân Canh, Đông Anh, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,Thỏa thuận,43.5m²,"Đường Hồng Hà, Hoàn Kiếm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,Thỏa thuận,150m²,"Dự án Thanh Hà Mường Thanh, Phường Kiến Hưng, Hà Đông, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,Thỏa thuận,Không xác định,"Dự án Sunshine Golden River, Phường Phú Thượng, Tây Hồ, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,35.5 triệu/m²,200m²,"Dự án Thanh Hà Mường Thanh, Phường Kiến Hưng, Hà Đông, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,Thỏa thuận,111m²,"Dự án Seasons Avenue, Đường Nguyễn Văn Lộc, Phường Mỗ Lao, Hà Đông, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,4.38 tỷ,44m²,"Phố Lạc Trung, Phường Thanh Lương, Hai Bà Trưng, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,1.9 tỷ,34m²,"Đường Quang Trung, Phường Quang Trung, Hà Đông, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,27 triệu/m²,61.7m²,"Dự án Chung cư Ban cơ yếu Chính phủ, Đường Lê Văn Lương, Phường Thanh Xuân Bắc, Thanh Xuân, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,650 triệu,46m²,"Đường Lê Duẩn, Phường Trung Tự, Đống Đa, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,39.9 tỷ,347m²,"Dự án Vinhomes Riverside, Đường Bằng Lăng 3, Phường Việt Hưng, Long Biên, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,6 tỷ,110m²,"Dự án Royal City, 72 Nguyễn Trãi, Phường Thượng Đình, Thanh Xuân, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,795 triệu,400m²,"Đường Đại lộ Thăng Long, Thạch Thất, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,13.8 tỷ,56m²,"Dự án KĐT Trung Yên, Đường Trung Yên 9, Phường Yên Hòa, Cầu Giấy, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,18 tỷ,102m²,"Đường Khuất Duy Tiến, Phường Thanh Xuân Bắc, Thanh Xuân, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,4.5 tỷ,68m²,"Đường An Dương Vương, Phường Phú Thượng, Tây Hồ, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,120 triệu/m²,Không xác định,"Dự án Vinhomes Riverside, Đường Bằng Lăng 3, Phường Việt Hưng, Long Biên, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,10.8 tỷ,96m²,"Phố Việt Hưng, Phường Việt Hưng, Long Biên, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,1.63 tỷ,67.3m²,"Dự án Lavita Charm, Đường Xa Lộ Hà Nội, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,20.5 triệu/m²,65.48m²,"Dự án Chung cư C14 Bộ Quốc Phòng, Đường Bùi Xương Trạch, Phường Định Công, Hoàng Mai, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,22.3 triệu/m²,72.3m²,"Dự án Chung cư X203 Lĩnh Nam, Phường Lĩnh Nam, Hoàng Mai, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Quảng Ninh,Thỏa thuận,Không xác định,"Dự án Harbor Bay Hạ Long, Phường Bãi Cháy, Hạ Long, Quảng Ninh"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,28 triệu/m²,152m²,"Dự án N05 Trần Duy Hưng, Phố Hoàng Đạo Thúy, Phường Trung Hòa, Cầu Giấy, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,Thỏa thuận,Không xác định,"Phường Nhân Chính, Thanh Xuân, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,Thỏa thuận,90m²,"Dự án Gamuda City (Gamuda Gardens), Đường Pháp Vân, Phường Yên Sở, Hoàng Mai, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.2 tỷ,62m²,"Dự án Vinhomes Green Bay Mễ Trì, Đường Đại lộ Thăng Long, Phường Mễ Trì, Nam Từ Liêm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,1.7 tỷ,Không xác định,"Dự án Eco City Việt Hưng, Phường Giang Biên, Long Biên, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,42 triệu/m²,Không xác định,"Đường Lai Xá, Xã Kim Chung, Hoài Đức, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,94 triệu/m²,100m²,"Dự án Geleximco Lê Trọng Tấn, Phố Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,870 triệu,30m²,"Dự án Vinhomes Green Bay Mễ Trì, Đường Đại lộ Thăng Long, Phường Mễ Trì, Nam Từ Liêm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,3.6 tỷ,60m²,"Ngõ 145, Phố Quan Nhân, Phường Nhân Chính, Thanh Xuân, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hưng Yên,1.6 tỷ,65.25m²,"Dự án Westbay Sky Residences, Văn Giang, Hưng Yên"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,4.05 tỷ,120m²,"Dự án Geleximco Lê Trọng Tấn, Phố Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,3.45 tỷ,108.7m²,"Dự án Times City, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,Thỏa thuận,306m²,"Dự án Vinhomes Green Bay Mễ Trì, Đường Đại lộ Thăng Long, Phường Mễ Trì, Nam Từ Liêm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.35 tỷ,35m²,"Đường Đại Mỗ, Phường Vạn Phúc, Hà Đông, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,Thỏa thuận,115m²,"Dự án Royal City, Đường Nguyễn Trãi, Phường Thượng Đình, Thanh Xuân, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,4.4 tỷ,98m²,"Dự án The Estella, Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,Thỏa thuận,207m²,"Dự án Vinhomes The Harmony, Đường Hướng Dương, Phường Phúc Đồng, Long Biên, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,26 tỷ,40m²,"Phố Hà Trung, Hoàn Kiếm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hưng Yên,20.5 triệu/m²,45m²,"Dự án Ecopark, Đường Trúc, Xã Xuân Quan, Văn Giang, Hưng Yên"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hưng Yên,9 tỷ,200m²,"Dự án Ecopark, Đường Trúc, Xã Xuân Quan, Văn Giang, Hưng Yên"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,14.9 triệu/m²,255m²,"Dự án KĐT Phú Cát City, Xã Thạch Hòa, Thạch Thất, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Bắc Ninh,Thỏa thuận,100m²,"Dự án Lotus Garden Từ Sơn, Phường Đồng Kỵ, Từ Sơn, Bắc Ninh"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.6 tỷ,73m²,"Dự án Legend Tower 109 Nguyễn Tuân, Thanh Xuân, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Quảng Ninh,20 tỷ,240m²,"Dự án Sun Plaza Grand World, Đường Hạ Long, Phường Đại Yên, Hạ Long, Quảng Ninh"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,15.8 tỷ,207m²,"Dự án Vinhomes The Harmony, Đường Hướng Dương, Phường Việt Hưng, Long Biên, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,28.5 triệu/m²,Không xác định,"Dự án PCC1 Triều Khúc, Thanh Xuân, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,20 tỷ,140m²,"Dự án Ciputra Hà Nội, Đường Lạc Long Quân, Phường Phú Thượng, Tây Hồ, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hải Phòng,20 triệu/m²,45m²,"Dự án Waterfront City, Đường Võ Nguyên Giáp, Phường Vĩnh Niệm, Lê Chân, Hải Phòng"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,1.67 tỷ,59m²,"Dự án Đại Mỗ, Nam Từ Liêm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,Thỏa thuận,50m²,"Dự án Dương Nội, Đường Tố Hữu, Phường Dương Nội, Hà Đông, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.59 tỷ,31m²,"Đường Đại Từ, Phường Đại Kim, Hoàng Mai, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,3.4 tỷ,76.5m²,"Dự án KĐT Văn Phú, Phố Lê Trọng Tấn, Phường Phú La, Hà Đông, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.65 tỷ,37m²,"Ngõ 37, Đường Vĩnh Hưng, Phường Vĩnh Hưng, Hoàng Mai, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,10.5 triệu/m²,61m²,"Dự án Thanh Hà Mường Thanh, Phường Kiến Hưng, Hà Đông, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,125 triệu/m²,350m²,"Dự án Vinhomes Riverside, Đường Bằng Lăng 3, Phường Việt Hưng, Long Biên, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Thái Bình,17.4 triệu/m²,115m²,"Dự án Thái Bình Dragon City, Thái ,Bình, Thái Bình"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Thái Bình,1.35 tỷ,76m²,"Đường Hoàng Công Chất, Phường Quang Trung, Thái Bình, Thái Bình"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,18.5 triệu/m²,100m²,"Dự án Canal Park, Phường Thạch Bàn, Long Biên, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,24 triệu/m²,172m²,"Dự án Geleximco Lê Trọng Tấn, Phố Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội"
2019 - 2020,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.25 tỷ,82m²,"Dự án Vinhomes Central Park, 208 Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh"
2019 - 2020,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.1 tỷ,72m²,"Dự án Vinhomes Central Park, Bình Thạnh, Hồ Chí Minh"
2019 - 2020,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,9 tỷ,48m²,"Hẻm 19 Đường Trần Đình Xu, Phường Cầu Kho, Quận 1, Hồ Chí Minh"
2019 - 2020,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,53 triệu/m²,86m²,"Dự án HaDo Centrosa Garden, Quận 10, Hồ Chí Minh"
2019 - 2020,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.4 tỷ,50m²,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
2019 - 2020,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.4 tá»·,80mÂ²,"Dá»± Ã¡n Khu Ä‘Ã´ thá»‹ sinh thÃ¡i NhÆ¡n Há»™i, Quy NhÆ¡n, BÃ¬nh Ä�á»‹nh"
2019 - 2020,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,3.45 tỷ,70m²,"Dự án Masteri An Phú, Quận 2, Hồ Chí Minh"
2019 - 2020,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.3 tỷ,Không xác định,"Dự án Eco Green Sài Gòn, Quận 7, Hồ Chí Minh"
2019 - 2020,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.4 tỷ,75m²,"Dự án Đạt Gia Residence, Đường Cây Keo, Phường Tam Phú, Thủ Đức, Hồ Chí Minh"
2019 - 2020,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.25 tỷ,70m²,"Dự án Safira Khang Điền, Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh"
2019 - 2020,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.5 tỷ,65m²,"Đường Tân Chánh Hiệp 36, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh"
2019 - 2020,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,Thá»�a thuáº­n,KhÃ´ng xÃ¡c Ä‘á»‹nh,"Dá»± Ã¡n Cocobay, Ä�Æ°á»�ng TrÆ°á»�ng Sa, PhÆ°á»�ng HÃ²a Háº£i, NgÅ© HÃ nh SÆ¡n, Ä�Ã  Náºµng"
2019 - 2020,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.6 tỷ,60m²,"Dự án Topaz Elite, Đường Cao Lỗ, Phường 4, Quận 8, Hồ Chí Minh"
2019 - 2020,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.3 tỷ,75m²,"Dự án Melosa Garden, Đường Vành Đai Trong, Phường Phú Hữu, Quận 9, Hồ Chí Minh"
2019 - 2020,Miền Nam,Đông Nam Bộ,Bình Dương,900 triệu,60m²,"Đường ĐT 747, Xã Tân Hiệp, Tân Uyên, Bình Dương"
2019 - 2020,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.7 tỷ,60m²,"Dự án Topaz Elite, Phố Tạ Quang Bửu, Phường 4, Quận 8, Hồ Chí Minh"
